lat,lng,temperature
0.25,0.25,27.68
0.25,0.75,27.67
0.25,1.25,27.71
0.25,1.75,27.77
0.25,2.25,27.79
0.25,2.75,27.78
0.25,3.25,27.75
0.25,3.75,27.74
0.25,4.25,27.75
0.25,4.75,27.74
0.25,5.25,27.67
0.25,5.75,27.53
0.25,6.25,27.35
0.25,6.75,27.18
0.25,7.25,27.27
0.25,7.75,27.37
0.25,8.25,27.39
0.25,8.75,27.38
0.25,9.25,26.69
0.25,9.75,25.6
0.75,0.25,27.75
0.75,0.75,27.76
0.75,1.25,27.8
0.75,1.75,27.86
0.75,2.25,27.89
0.75,2.75,27.87
0.75,3.25,27.82
0.75,3.75,27.78
0.75,4.25,27.8
0.75,4.75,27.78
0.75,5.25,27.72
0.75,5.75,27.61
0.75,6.25,27.47
0.75,6.75,27.29
0.75,7.25,27.3
0.75,7.75,27.38
0.75,8.25,27.44
0.75,8.75,27.42
0.75,9.25,27.02
0.75,9.75,25.68
1.25,0.25,27.84
1.25,0.75,27.86
1.25,1.25,27.9
1.25,1.75,27.96
1.25,2.25,27.97
1.25,2.75,27.95
1.25,3.25,27.9
1.25,3.75,27.84
1.25,4.25,27.85
1.25,4.75,27.82
1.25,5.25,27.78
1.25,5.75,27.71
1.25,6.25,27.64
1.25,6.75,27.46
1.25,7.25,27.36
1.25,7.75,27.39
1.25,8.25,27.48
1.25,8.75,27.48
1.25,9.25,27.26
1.25,9.75,25.76
1.75,0.25,27.95
1.75,0.75,27.96
1.75,1.25,28.0
1.75,1.75,28.06
1.75,2.25,28.06
1.75,2.75,28.04
1.75,3.25,28.01
1.75,3.75,27.97
1.75,4.25,27.95
1.75,4.75,27.91
1.75,5.25,27.86
1.75,5.75,27.8
1.75,6.25,27.76
1.75,6.75,27.57
1.75,7.25,27.45
1.75,7.75,27.46
1.75,8.25,27.57
1.75,8.75,27.63
1.75,9.25,27.52
1.75,9.75,26.14
2.25,0.25,28.05
2.25,0.75,28.07
2.25,1.25,28.08
2.25,1.75,28.12
2.25,2.25,28.13
2.25,2.75,28.13
2.25,3.25,28.12
2.25,3.75,28.1
2.25,4.25,28.06
2.25,4.75,28.01
2.25,5.25,27.95
2.25,5.75,27.9
2.25,6.25,27.87
2.25,6.75,27.75
2.25,7.25,27.67
2.25,7.75,27.68
2.25,8.25,27.76
2.25,8.75,27.82
2.25,9.25,27.7
2.25,9.75,26.64
2.75,0.25,28.13
2.75,0.75,28.16
2.75,1.25,28.17
2.75,1.75,28.22
2.75,2.25,28.23
2.75,2.75,28.22
2.75,3.25,28.21
2.75,3.75,28.17
2.75,4.25,28.15
2.75,4.75,28.11
2.75,5.25,28.06
2.75,5.75,28.01
2.75,6.25,27.98
2.75,6.75,27.92
2.75,7.25,27.91
2.75,7.75,27.91
2.75,8.25,27.87
2.75,8.75,27.67
2.75,9.25,27.73
2.75,9.75,27.03
3.25,0.25,28.18
3.25,0.75,28.22
3.25,1.25,28.26
3.25,1.75,28.3
3.25,2.25,28.33
3.25,2.75,28.33
3.25,3.25,28.29
3.25,3.75,28.24
3.25,4.25,28.23
3.25,4.75,28.21
3.25,5.25,28.18
3.25,5.75,28.14
3.25,6.25,28.1
3.25,6.75,28.08
3.25,7.25,28.08
3.25,7.75,28.02
3.25,8.25,27.71
3.25,8.75,26.87
3.25,9.25,27.77
3.25,9.75,27.5
3.75,0.25,28.23
3.75,0.75,28.3
3.75,1.25,28.37
3.75,1.75,28.4
3.75,2.25,28.43
3.75,2.75,28.42
3.75,3.25,28.36
3.75,3.75,28.3
3.75,4.25,28.31
3.75,4.75,28.32
3.75,5.25,28.33
3.75,5.75,28.31
3.75,6.25,28.21
3.75,6.75,28.19
3.75,7.25,28.18
3.75,7.75,28.12
3.75,8.25,27.84
3.75,8.75,27.13
3.75,9.25,27.65
3.75,9.75,27.66
4.25,0.25,28.31
4.25,0.75,28.39
4.25,1.25,28.48
4.25,1.75,28.56
4.25,2.25,28.59
4.25,2.75,28.56
4.25,3.25,28.5
4.25,3.75,28.43
4.25,4.25,28.42
4.25,4.75,28.39
4.25,5.25,28.35
4.25,5.75,28.2
4.25,6.25,27.77
4.25,6.75,27.73
4.25,7.25,27.85
4.25,7.75,27.98
4.25,8.25,28.03
4.25,8.75,27.88
4.25,9.25,27.23
4.25,9.75,27.04
4.75,0.25,28.35
4.75,0.75,28.48
4.75,1.25,28.56
4.75,1.75,28.69
4.75,2.25,28.75
4.75,2.75,28.74
4.75,3.25,28.71
4.75,3.75,28.65
4.75,4.25,28.58
4.75,4.75,28.49
4.75,5.25,28.19
4.75,5.75,27.71
4.75,6.25,27.34
4.75,6.75,27.39
4.75,7.25,27.44
4.75,7.75,27.49
4.75,8.25,27.5
4.75,8.75,27.36
4.75,9.25,26.6
4.75,9.75,25.69
5.25,0.25,27.98
5.25,0.75,28.33
5.25,1.25,28.6
5.25,1.75,28.76
5.25,2.25,28.84
5.25,2.75,28.87
5.25,3.25,28.88
5.25,3.75,28.87
5.25,4.25,28.78
5.25,4.75,28.57
5.25,5.25,28.06
5.25,5.75,27.53
5.25,6.25,27.76
5.25,6.75,27.62
5.25,7.25,27.3
5.25,7.75,26.92
5.25,8.25,26.64
5.25,8.75,26.63
5.25,9.25,26.58
5.25,9.75,24.88
5.75,0.25,27.37
5.75,0.75,27.86
5.75,1.25,28.25
5.75,1.75,28.5
5.75,2.25,28.68
5.75,2.75,28.81
5.75,3.25,28.9
5.75,3.75,28.96
5.75,4.25,28.8
5.75,4.75,28.38
5.75,5.25,27.91
5.75,5.75,27.64
5.75,6.25,27.93
5.75,6.75,27.63
5.75,7.25,27.19
5.75,7.75,26.83
5.75,8.25,26.66
5.75,8.75,26.72
5.75,9.25,26.79
5.75,9.75,24.45
6.25,0.25,27.29
6.25,0.75,27.49
6.25,1.25,27.71
6.25,1.75,27.87
6.25,2.25,28.01
6.25,2.75,28.2
6.25,3.25,28.39
6.25,3.75,28.46
6.25,4.25,28.15
6.25,4.75,27.75
6.25,5.25,27.49
6.25,5.75,27.42
6.25,6.25,27.42
6.25,6.75,27.47
6.25,7.25,27.18
6.25,7.75,27.14
6.25,8.25,27.37
6.25,8.75,27.31
6.25,9.25,26.66
6.25,9.75,25.03
6.75,0.25,27.6
6.75,0.75,27.26
6.75,1.25,27.51
6.75,1.75,27.46
6.75,2.25,27.32
6.75,2.75,27.32
6.75,3.25,27.47
6.75,3.75,27.5
6.75,4.25,27.24
6.75,4.75,27.02
6.75,5.25,26.94
6.75,5.75,26.98
6.75,6.25,27.05
6.75,6.75,27.41
6.75,7.25,27.39
6.75,7.75,27.74
6.75,8.25,28.37
6.75,8.75,28.3
6.75,9.25,28.05
6.75,9.75,27.67
7.25,0.25,27.66
7.25,0.75,26.86
7.25,1.25,27.44
7.25,1.75,27.51
7.25,2.25,27.25
7.25,2.75,27.04
7.25,3.25,26.99
7.25,3.75,26.91
7.25,4.25,26.84
7.25,4.75,26.71
7.25,5.25,26.68
7.25,5.75,26.9
7.25,6.25,27.47
7.25,6.75,27.92
7.25,7.25,27.94
7.25,7.75,28.4
7.25,8.25,29.14
7.25,8.75,29.01
7.25,9.25,29.29
7.25,9.75,29.25
7.75,0.25,27.76
7.75,0.75,26.64
7.75,1.25,27.23
7.75,1.75,27.55
7.75,2.25,27.49
7.75,2.75,27.32
7.75,3.25,27.19
7.75,3.75,27.03
7.75,4.25,27.16
7.75,4.75,27.3
7.75,5.25,27.58
7.75,5.75,28.06
7.75,6.25,28.72
7.75,6.75,28.92
7.75,7.25,28.76
7.75,7.75,28.89
7.75,8.25,29.21
7.75,8.75,28.84
7.75,9.25,29.14
7.75,9.75,29.18
8.25,0.25,28.29
8.25,0.75,27.03
8.25,1.25,27.22
8.25,1.75,27.57
8.25,2.25,27.73
8.25,2.75,27.79
8.25,3.25,27.82
8.25,3.75,27.87
8.25,4.25,28.38
8.25,4.75,28.91
8.25,5.25,29.46
8.25,5.75,29.84
8.25,6.25,29.74
8.25,6.75,29.35
8.25,7.25,29.16
8.25,7.75,29.17
8.25,8.25,29.35
8.25,8.75,29.63
8.25,9.25,29.99
8.25,9.75,29.82
8.75,0.25,29.33
8.75,0.75,28.16
8.75,1.25,27.67
8.75,1.75,27.85
8.75,2.25,28.24
8.75,2.75,28.53
8.75,3.25,28.72
8.75,3.75,29.06
8.75,4.25,29.8
8.75,4.75,30.32
8.75,5.25,30.54
8.75,5.75,30.4
8.75,6.25,29.8
8.75,6.75,28.97
8.75,7.25,28.69
8.75,7.75,28.94
8.75,8.25,29.49
8.75,8.75,29.87
8.75,9.25,29.87
8.75,9.75,30.09
9.25,0.25,30.3
9.25,0.75,29.37
9.25,1.25,28.26
9.25,1.75,28.25
9.25,2.25,28.91
9.25,2.75,29.4
9.25,3.25,29.55
9.25,3.75,29.87
9.25,4.25,30.3
9.25,4.75,30.26
9.25,5.25,29.87
9.25,5.75,29.27
9.25,6.25,28.64
9.25,6.75,27.8
9.25,7.25,27.47
9.25,7.75,27.82
9.25,8.25,28.27
9.25,8.75,27.53
9.25,9.25,27.12
9.25,9.75,28.46
9.75,0.25,30.41
9.75,0.75,30.06
9.75,1.25,28.94
9.75,1.75,29.05
9.75,2.25,29.62
9.75,2.75,29.89
9.75,3.25,29.76
9.75,3.75,29.77
9.75,4.25,29.6
9.75,4.75,28.92
9.75,5.25,28.18
9.75,5.75,27.55
9.75,6.25,26.93
9.75,6.75,26.25
9.75,7.25,25.91
9.75,7.75,26.0
9.75,8.25,26.0
9.75,8.75,24.71
9.75,9.25,25.15
9.75,9.75,26.91
0.25,10.25,24.58
0.25,10.75,23.93
0.25,11.25,23.8
0.25,11.75,23.84
0.25,12.25,24.03
0.25,12.75,24.13
0.25,13.25,24.04
0.25,13.75,23.86
