lat,lng,windSpeed
0.25,0.25,3.99
0.25,0.75,3.92
0.25,1.25,3.84
0.25,1.75,3.79
0.25,2.25,3.76
0.25,2.75,3.75
0.25,3.25,3.75
0.25,3.75,3.76
0.25,4.25,3.75
0.25,4.75,3.74
0.25,5.25,3.72
0.25,5.75,3.67
0.25,6.25,3.56
0.25,6.75,3.48
0.25,7.25,3.6
0.25,7.75,3.84
0.25,8.25,4.14
0.25,8.75,4.38
0.25,9.25,3.39
0.25,9.75,2.46
0.75,0.25,3.94
0.75,0.75,3.9
0.75,1.25,3.85
0.75,1.75,3.81
0.75,2.25,3.81
0.75,2.75,3.82
0.75,3.25,3.83
0.75,3.75,3.84
0.75,4.25,3.83
0.75,4.75,3.81
0.75,5.25,3.78
0.75,5.75,3.72
0.75,6.25,3.6
0.75,6.75,3.57
0.75,7.25,3.63
0.75,7.75,3.76
0.75,8.25,3.91
0.75,8.75,4.03
0.75,9.25,3.36
0.75,9.75,2.54
1.25,0.25,3.84
1.25,0.75,3.84
1.25,1.25,3.82
1.25,1.75,3.81
1.25,2.25,3.83
1.25,2.75,3.86
1.25,3.25,3.89
1.25,3.75,3.89
1.25,4.25,3.87
1.25,4.75,3.83
1.25,5.25,3.78
1.25,5.75,3.72
1.25,6.25,3.62
1.25,6.75,3.61
1.25,7.25,3.63
1.25,7.75,3.69
1.25,8.25,3.77
1.25,8.75,3.8
1.25,9.25,3.29
1.25,9.75,2.29
1.75,0.25,3.68
1.75,0.75,3.75
1.75,1.25,3.79
1.75,1.75,3.8
1.75,2.25,3.84
1.75,2.75,3.89
1.75,3.25,3.92
1.75,3.75,3.93
1.75,4.25,3.89
1.75,4.75,3.84
1.75,5.25,3.77
1.75,5.75,3.7
1.75,6.25,3.63
1.75,6.75,3.62
1.75,7.25,3.62
1.75,7.75,3.66
1.75,8.25,3.73
1.75,8.75,3.73
1.75,9.25,3.4
1.75,9.75,2.23
2.25,0.25,3.5
2.25,0.75,3.64
2.25,1.25,3.76
2.25,1.75,3.82
2.25,2.25,3.87
2.25,2.75,3.92
2.25,3.25,3.95
2.25,3.75,3.96
2.25,4.25,3.92
2.25,4.75,3.86
2.25,5.25,3.79
2.25,5.75,3.71
2.25,6.25,3.65
2.25,6.75,3.65
2.25,7.25,3.65
2.25,7.75,3.69
2.25,8.25,3.75
2.25,8.75,3.78
2.25,9.25,3.61
2.25,9.75,2.41
2.75,0.25,3.34
2.75,0.75,3.54
2.75,1.25,3.73
2.75,1.75,3.85
2.75,2.25,3.93
2.75,2.75,3.98
2.75,3.25,4.0
2.75,3.75,4.0
2.75,4.25,3.97
2.75,4.75,3.91
2.75,5.25,3.85
2.75,5.75,3.78
2.75,6.25,3.73
2.75,6.75,3.72
2.75,7.25,3.73
2.75,7.75,3.72
2.75,8.25,3.66
2.75,8.75,3.54
2.75,9.25,3.6
2.75,9.75,2.55
3.25,0.25,3.28
3.25,0.75,3.49
3.25,1.25,3.73
3.25,1.75,3.91
3.25,2.25,4.02
3.25,2.75,4.08
3.25,3.25,4.09
3.25,3.75,4.08
3.25,4.25,4.07
3.25,4.75,4.03
3.25,5.25,3.99
3.25,5.75,3.95
3.25,6.25,3.91
3.25,6.75,3.93
3.25,7.25,3.93
3.25,7.75,3.83
3.25,8.25,3.53
3.25,8.75,2.93
3.25,9.25,3.13
3.25,9.75,2.25
3.75,0.25,3.46
3.75,0.75,3.62
3.75,1.25,3.85
3.75,1.75,4.03
3.75,2.25,4.16
3.75,2.75,4.22
3.75,3.25,4.24
3.75,3.75,4.24
3.75,4.25,4.22
3.75,4.75,4.18
3.75,5.25,4.14
3.75,5.75,4.1
3.75,6.25,4.07
3.75,6.75,4.11
3.75,7.25,4.15
3.75,7.75,4.12
3.75,8.25,3.86
3.75,8.75,3.04
3.75,9.25,2.45
3.75,9.75,1.6
4.25,0.25,3.93
4.25,0.75,3.98
4.25,1.25,4.1
4.25,1.75,4.27
4.25,2.25,4.37
4.25,2.75,4.43
4.25,3.25,4.44
4.25,3.75,4.44
4.25,4.25,4.39
4.25,4.75,4.36
4.25,5.25,4.2
4.25,5.75,3.76
4.25,6.25,2.82
4.25,6.75,2.87
4.25,7.25,3.3
4.25,7.75,3.81
4.25,8.25,4.02
4.25,8.75,3.5
4.25,9.25,2.11
4.25,9.75,1.38
4.75,0.25,4.38
4.75,0.75,4.39
4.75,1.25,4.4
4.75,1.75,4.52
4.75,2.25,4.6
4.75,2.75,4.64
4.75,3.25,4.64
4.75,3.75,4.61
4.75,4.25,4.54
4.75,4.75,4.46
4.75,5.25,3.93
4.75,5.75,2.92
4.75,6.25,1.83
4.75,6.75,1.62
4.75,7.25,1.96
4.75,7.75,2.5
4.75,8.25,2.92
4.75,8.75,2.96
4.75,9.25,1.98
4.75,9.75,1.47
5.25,0.25,4.18
5.25,0.75,4.49
5.25,1.25,4.69
5.25,1.75,4.71
5.25,2.25,4.72
5.25,2.75,4.74
5.25,3.25,4.74
5.25,3.75,4.71
5.25,4.25,4.61
5.25,4.75,4.17
5.25,5.25,3.11
5.25,5.75,1.91
5.25,6.25,1.84
5.25,6.75,1.72
5.25,7.25,1.69
5.25,7.75,1.75
5.25,8.25,1.91
5.25,8.75,2.27
5.25,9.25,2.12
5.25,9.75,1.81
5.75,0.25,3.44
5.75,0.75,3.94
5.75,1.25,4.47
5.75,1.75,4.53
5.75,2.25,4.54
5.75,2.75,4.56
5.75,3.25,4.57
5.75,3.75,4.54
5.75,4.25,4.16
5.75,4.75,3.19
5.75,5.25,2.15
5.75,5.75,1.5
5.75,6.25,1.68
5.75,6.75,1.87
5.75,7.25,1.89
5.75,7.75,1.84
5.75,8.25,1.86
5.75,8.75,2.12
5.75,9.25,2.23
5.75,9.75,2.12
6.25,0.25,3.0
6.25,0.75,3.17
6.25,1.25,3.66
6.25,1.75,3.79
6.25,2.25,3.72
6.25,2.75,3.64
6.25,3.25,3.58
6.25,3.75,3.43
6.25,4.25,2.75
6.25,4.75,1.85
6.25,5.25,1.42
6.25,5.75,1.58
6.25,6.25,1.87
6.25,6.75,1.94
6.25,7.25,1.91
6.25,7.75,1.85
6.25,8.25,1.85
6.25,8.75,1.95
6.25,9.25,1.92
6.25,9.75,2.07
6.75,0.25,2.86
6.75,0.75,2.66
6.75,1.25,2.86
6.75,1.75,2.97
6.75,2.25,2.72
6.75,2.75,2.48
6.75,3.25,2.34
6.75,3.75,2.12
6.75,4.25,1.45
6.75,4.75,1.16
6.75,5.25,1.29
6.75,5.75,1.7
6.75,6.25,2.06
6.75,6.75,1.93
6.75,7.25,1.82
6.75,7.75,1.76
6.75,8.25,1.77
6.75,8.75,1.85
6.75,9.25,1.9
6.75,9.75,2.19
7.25,0.25,2.68
7.25,0.75,2.37
7.25,1.25,2.33
7.25,1.75,2.45
7.25,2.25,2.24
7.25,2.75,2.03
7.25,3.25,1.92
7.25,3.75,1.86
7.25,4.25,1.41
7.25,4.75,1.48
7.25,5.25,1.84
7.25,5.75,2.23
7.25,6.25,2.39
7.25,6.75,2.02
7.25,7.25,1.86
7.25,7.75,1.83
7.25,8.25,1.89
7.25,8.75,2.02
7.25,9.25,2.17
